model,feature_kind,learner,train_mode,test_set,threshold,calibration_f1,accuracy,precision,recall,f1,tp,fp,tn,fn,total
hc3_char_tfidf_logreg,tfidf_char,logreg,hc3_only,hc3_in_domain,0.30,0.9609,0.9722,0.9885,0.9556,0.9718,86,1,89,4,180
hc3_char_tfidf_logreg,tfidf_char,logreg,hc3_only,deepseek_original,0.30,0.9609,0.7083,0.8571,0.5000,0.6316,6,1,11,6,24
hc3_char_tfidf_logreg,tfidf_char,logreg,hc3_only,deepseek_casual_rewrite,0.30,0.9609,0.5000,0.5000,0.0833,0.1429,1,1,11,11,24
hc3_char_tfidf_logreg,tfidf_char,logreg,hc3_only,deepseek_adversarial_rewrite,0.30,0.9609,0.4583,0.0000,0.0000,0.0000,0,1,11,12,24
hc3_mixed_tfidf_logreg,tfidf_mixed,logreg,hc3_only,hc3_in_domain,0.38,0.9775,0.9667,0.9884,0.9444,0.9659,85,1,89,5,180
hc3_mixed_tfidf_logreg,tfidf_mixed,logreg,hc3_only,deepseek_original,0.38,0.9775,0.7083,0.8571,0.5000,0.6316,6,1,11,6,24
hc3_mixed_tfidf_logreg,tfidf_mixed,logreg,hc3_only,deepseek_casual_rewrite,0.38,0.9775,0.5417,0.6667,0.1667,0.2667,2,1,11,10,24
hc3_mixed_tfidf_logreg,tfidf_mixed,logreg,hc3_only,deepseek_adversarial_rewrite,0.38,0.9775,0.4583,0.0000,0.0000,0.0000,0,1,11,12,24
hc3_char_tfidf_svm,tfidf_char,svm,hc3_only,hc3_in_domain,0.38,0.9609,0.9611,0.9560,0.9667,0.9613,87,4,86,3,180
hc3_char_tfidf_svm,tfidf_char,svm,hc3_only,deepseek_original,0.38,0.9609,0.6667,0.8333,0.4167,0.5556,5,1,11,7,24
hc3_char_tfidf_svm,tfidf_char,svm,hc3_only,deepseek_casual_rewrite,0.38,0.9609,0.5000,0.5000,0.0833,0.1429,1,1,11,11,24
hc3_char_tfidf_svm,tfidf_char,svm,hc3_only,deepseek_adversarial_rewrite,0.38,0.9609,0.4583,0.0000,0.0000,0.0000,0,1,11,12,24
aug_char_tfidf_logreg,tfidf_char,logreg,hc3_plus_deepseek,hc3_in_domain,0.90,0.9535,0.9556,1.0000,0.9111,0.9535,82,0,90,8,180
aug_char_tfidf_logreg,tfidf_char,logreg,hc3_plus_deepseek,deepseek_original,0.90,0.9535,0.7500,1.0000,0.5000,0.6667,6,0,12,6,24
aug_char_tfidf_logreg,tfidf_char,logreg,hc3_plus_deepseek,deepseek_casual_rewrite,0.90,0.9535,0.5417,1.0000,0.0833,0.1538,1,0,12,11,24
aug_char_tfidf_logreg,tfidf_char,logreg,hc3_plus_deepseek,deepseek_adversarial_rewrite,0.90,0.9535,0.5000,0.0000,0.0000,0.0000,0,0,12,12,24
aug_mixed_tfidf_logreg,tfidf_mixed,logreg,hc3_plus_deepseek,hc3_in_domain,0.82,0.9674,0.9722,0.9670,0.9778,0.9724,88,3,87,2,180
aug_mixed_tfidf_logreg,tfidf_mixed,logreg,hc3_plus_deepseek,deepseek_original,0.82,0.9674,0.7500,0.7143,0.8333,0.7692,10,4,8,2,24
aug_mixed_tfidf_logreg,tfidf_mixed,logreg,hc3_plus_deepseek,deepseek_casual_rewrite,0.82,0.9674,0.5000,0.5000,0.3333,0.4000,4,4,8,8,24
aug_mixed_tfidf_logreg,tfidf_mixed,logreg,hc3_plus_deepseek,deepseek_adversarial_rewrite,0.82,0.9674,0.5000,0.5000,0.3333,0.4000,4,4,8,8,24
hc3_stylometric_logreg,stylometric,logreg,hc3_only,hc3_in_domain,0.05,0.4480,0.6444,0.8421,0.3556,0.5000,32,6,84,58,180
hc3_stylometric_logreg,stylometric,logreg,hc3_only,deepseek_original,0.05,0.4480,0.7500,1.0000,0.5000,0.6667,6,0,12,6,24
hc3_stylometric_logreg,stylometric,logreg,hc3_only,deepseek_casual_rewrite,0.05,0.4480,0.5000,0.0000,0.0000,0.0000,0,0,12,12,24
hc3_stylometric_logreg,stylometric,logreg,hc3_only,deepseek_adversarial_rewrite,0.05,0.4480,0.5000,0.0000,0.0000,0.0000,0,0,12,12,24
