model,feature_kind,learner,training_variants,train_samples,calibration_samples,test_set,threshold,calibration_f1,accuracy,balanced_accuracy,precision,recall,f1,tp,fp,tn,fn,total
hc3_char_tfidf_logreg,tfidf_char,logreg,chatgpt_hc3,420,84,hc3_chatgpt,0.4100,0.9639,0.9479,0.9479,0.9574,0.9375,0.9474,45,2,46,3,96
hc3_char_tfidf_logreg,tfidf_char,logreg,chatgpt_hc3,420,84,deepseek_original,0.4100,0.9639,0.7604,0.7604,0.9310,0.5625,0.7013,27,2,46,21,96
hc3_char_tfidf_logreg,tfidf_char,logreg,chatgpt_hc3,420,84,deepseek_casual_rewrite,0.4100,0.9639,0.5104,0.5104,0.6000,0.0625,0.1132,3,2,46,45,96
hc3_char_tfidf_logreg,tfidf_char,logreg,chatgpt_hc3,420,84,deepseek_adversarial_rewrite,0.4100,0.9639,0.4792,0.4792,0.0000,0.0000,0.0000,0,2,46,48,96
hc3_mixed_tfidf_logreg,tfidf_mixed,logreg,chatgpt_hc3,420,84,hc3_chatgpt,0.4300,0.9524,0.9375,0.9375,0.9200,0.9583,0.9388,46,4,44,2,96
hc3_mixed_tfidf_logreg,tfidf_mixed,logreg,chatgpt_hc3,420,84,deepseek_original,0.4300,0.9524,0.6979,0.6979,0.8519,0.4792,0.6133,23,4,44,25,96
hc3_mixed_tfidf_logreg,tfidf_mixed,logreg,chatgpt_hc3,420,84,deepseek_casual_rewrite,0.4300,0.9524,0.5000,0.5000,0.5000,0.0833,0.1429,4,4,44,44,96
hc3_mixed_tfidf_logreg,tfidf_mixed,logreg,chatgpt_hc3,420,84,deepseek_adversarial_rewrite,0.4300,0.9524,0.4792,0.4792,0.3333,0.0417,0.0741,2,4,44,46,96
clean_aligned_mixed_tfidf_logreg,tfidf_mixed,logreg,chatgpt_hc3+deepseek_original,840,168,hc3_chatgpt,0.6600,0.9048,0.9167,0.9167,0.8704,0.9792,0.9216,47,7,41,1,96
clean_aligned_mixed_tfidf_logreg,tfidf_mixed,logreg,chatgpt_hc3+deepseek_original,840,168,deepseek_original,0.6600,0.9048,0.8542,0.8542,0.8542,0.8542,0.8542,41,7,41,7,96
clean_aligned_mixed_tfidf_logreg,tfidf_mixed,logreg,chatgpt_hc3+deepseek_original,840,168,deepseek_casual_rewrite,0.6600,0.9048,0.4792,0.4792,0.4167,0.1042,0.1667,5,7,41,43,96
clean_aligned_mixed_tfidf_logreg,tfidf_mixed,logreg,chatgpt_hc3+deepseek_original,840,168,deepseek_adversarial_rewrite,0.6600,0.9048,0.4271,0.4271,0.0000,0.0000,0.0000,0,7,41,48,96
casual_aug_mixed_tfidf_logreg,tfidf_mixed,logreg,chatgpt_hc3+deepseek_original+deepseek_casual_rewrite,1260,252,hc3_chatgpt,0.7300,0.8548,0.9271,0.9271,0.9020,0.9583,0.9293,46,5,43,2,96
casual_aug_mixed_tfidf_logreg,tfidf_mixed,logreg,chatgpt_hc3+deepseek_original+deepseek_casual_rewrite,1260,252,deepseek_original,0.7300,0.8548,0.8229,0.8229,0.8780,0.7500,0.8090,36,5,43,12,96
casual_aug_mixed_tfidf_logreg,tfidf_mixed,logreg,chatgpt_hc3+deepseek_original+deepseek_casual_rewrite,1260,252,deepseek_casual_rewrite,0.7300,0.8548,0.8125,0.8125,0.8750,0.7292,0.7955,35,5,43,13,96
casual_aug_mixed_tfidf_logreg,tfidf_mixed,logreg,chatgpt_hc3+deepseek_original+deepseek_casual_rewrite,1260,252,deepseek_adversarial_rewrite,0.7300,0.8548,0.6979,0.6979,0.8276,0.5000,0.6234,24,5,43,24,96
rewrite_aligned_char_tfidf_logreg,tfidf_char,logreg,chatgpt_hc3+deepseek_original+deepseek_casual_rewrite+deepseek_adversarial_rewrite,1680,336,hc3_chatgpt,0.8200,0.8424,0.8750,0.8750,0.9286,0.8125,0.8667,39,3,45,9,96
